wavelength,e (M-1 cm-1)
450,1
449,1
448,1
447,1
446,1
445,1
444,1
443,1
442,1
441,1
440,1
439,1
438,1
437,1
436,1
435,1
434,1
433,1
432,1
431,1
430,2
429,2
428,2
427,2
426,2
425,2
424,2
423,3
422,3
421,3
420,4
419,4
418,5
417,6
416,7
415,8
414,9
413,10
412,13
411,15
410,17
409,20
408,23
407,27
406,31
405,36
404,42
403,48
402,56
401,64
400,74
399,85
398,97
397,111
396,126
395,143
394,162
393,182
392,205
391,229
390,256
389,285
388,317
387,352
386,389
385,429
384,472
383,519
382,571
381,626
380,685
379,749
378,818
377,891
376,968
375,1051
374,1140
373,1233
372,1333
371,1438
370,1547
369,1664
368,1785
367,1912
366,2046
365,2189
364,2326
363,2478
362,2640
361,2806
360,2974
359,3152
358,3335
357,3524
356,3718
355,3918
354,4120
353,4326
352,4538
351,4752
350,4979
349,5205
348,5433
347,5660
346,5895
345,6118
344,6355
343,6597
342,6836
341,7076
340,7312
339,7546
338,7777
337,8007
336,8229
335,8442
334,8665
333,8878
332,9078
331,9284
330,9476
329,9641
328,9810
327,9981
326,10137
325,10272
324,10389
323,10507
322,10568
321,10691
320,10734
319,10774
318,10817
317,10802
316,10770
315,10782
314,10734
313,10652
312,10598
311,10507
310,10389
309,10272
308,10146
307,10010
306,9847
305,9692
304,9518
303,9327
302,9128
301,8936
300,8719
299,8513
298,8298
297,8069
296,7843
295,7613
294,7384
293,7151
292,6922
291,6691
290,6460
289,6231
288,6000
287,5788
286,5560
285,5341
284,5119
283,4968
282,4731
281,4520
280,4305
279,4098
278,3901
277,3710
276,3521
275,3338
274,3159
273,2987
272,2823
271,2661
270,2506
269,2467
268,2309
267,2161
266,2028
265,1904
264,1790
263,1684
262,1584
261,1491
260,1403
259,1322
258,1249
257,1183
256,1125
255,1080
254,1048
253,1034
252,1044
251,1087
250,1166